"source_id","name","channel"
1976,"A3DECA",9
1977,"ICAO-39BD24",9
1978,"A4337C",4
1979,"ICAO-AAA5FE",0
1980,"ICAO-A678EF",6
1981,"ICAO-AAF260",14
1982,"A9768A",4
1983,"ICAO-8682DA",15
1984,"ICAO-A46CC1",2
1985,"C01766",1
1986,"A50CB7",8
1987,"ICAO-4CAA33",0
1988,"AB1971",14
1989,"ICAO-A8B760",4
1990,"ICAO-A2A77B",10
1991,"ICAO-AA931D",1
1992,"ICAO-A8FC06",8
1993,"A2AF7C",3
1994,"ICAO-AA6C57",10
1995,"ICAO-A658DE",1
1996,"ICAO-A4322C",15
1997,"ICAO-A3F7F3",0
1998,"3C64EC",12
1999,"ICAO-AA2BC5",4
2000,"A45091",0
2001,"AD935B",13
2002,"ABAAA8",5
2003,"ICAO-AB0A9D",11
2004,"ICAO-A059E3",0
2005,"ABA7B0",2
2006,"AA6BED",13
2007,"ICAO-4006A8",9
2008,"ICAO-AD60B7",12
2009,"A791C0",1
2010,"ICAO-A11F9D",10
2011,"ICAO-780F4C",2
2012,"ICAO-A24CE0",0
2013,"ICAO-3C4B2B",14
2014,"ICAO-AD2445",2
2015,"ICAO-AB20E7",3
2016,"A48681",15
2017,"ICAO-A1DC60",10
2018,"45D966",3
2019,"ICAO-4CC4FF",13
2020,"ICAO-A2FBEC",14
2021,"AA75EF",14
2022,"ICAO-A2FCFF",15
2023,"ICAO-406C6D",6
2024,"A33ECC",2
2025,"ICAO-47C5CA",9
2026,"ICAO-3C4B2A",8
2027,"ICAO-394A18",1
2028,"AD4F72",10
2029,"ICAO-A68A5D",4
2030,"ICAO-A2C094",5
2031,"ICAO-A94B0A",10
2032,"ICAO-AA93C9",1
2033,"AA600A",11
2034,"ICAO-706057",6
2035,"ICAO-AA01A2",2
2036,"ICAO-AAEAE6",14
2037,"A87904",3
2038,"ICAO-AB6851",12
2039,"ICAO-4006B0",10
2040,"ICAO-A05467",5
2041,"ICAO-A83D1A",6
2042,"A837A6",13
2043,"A1B029",5
2044,"ICAO-896185",4
2045,"ICAO-AB6800",15
2046,"AA7E7C",8
2047,"ICAO-AC18FE",4
2048,"A8913B",9
2049,"ICAO-8960E3",11
2050,"ICAO-A0F541",2
2051,"ICAO-47C5C7",7
2052,"ICAO-400F0B",10
2053,"E80244",1
2054,"ICAO-ADA296",14
2055,"ICAO-AABA9A",12
2056,"ICAO-AA6C50",10
2057,"AB00CE",6
2058,"AB23B5",13
2059,"ICAO-A22642",5
2060,"ICAO-4D2130",11
2061,"ICAO-AB39F0",3
2062,"ACBF63",15
2063,"ICAO-A923EF",13
2064,"A71EFA",15
2065,"ICAO-479089",6
2066,"ICAO-A8B8BA",15
2067,"ICAO-A8856D",13
2068,"ICAO-400613",9
2069,"ICAO-AC82F8",12
2070,"ICAO-AD6C3B",8
2071,"ICAO-4D20B7",14
2072,"AAB0DE",3
2073,"A38E11",6
2074,"ICAO-C036B1",4
2075,"ICAO-A023A5",8
2076,"ICAO-4005BA",5
2077,"ABD536",12
2078,"A6F00D",12
2079,"ICAO-3C6518",15
2080,"ICAO-A75AC7",8
2081,"ICAO-4841AD",15
2082,"ACC76B",6
2083,"ICAO-A854D0",2
2084,"ICAO-A21633",0
2085,"ICAO-4CA74E",5
2086,"ICAO-AA589C",15
2087,"ICAO-ABDDFF",11
2088,"ICAO-06A0F6",11
2089,"ICAO-AD7701",13
2090,"ICAO-A8352B",0
2091,"ICAO-A0F828",6
2092,"AA96E2",0
2093,"ICAO-A4460E",0
2094,"345241",3
2095,"ICAO-A89D59",15
2096,"ICAO-AB2AE1",6
2097,"ICAO-4BA94E",3
2098,"ICAO-A03B91",13
2099,"ICAO-A894F2",15
2100,"ICAO-43E9A6",0
2101,"ICAO-A86605",6
2102,"A85FF5",14
2103,"AAF183",3
2104,"ICAO-AAF8F1",12
2105,"ICAO-AAC850",3
2106,"ICAO-A0012F",11
2107,"AB4BA6",1
2108,"ICAO-484369",15
2109,"ICAO-42426C",8
2110,"ICAO-A712A6",0
2111,"A53696",7
2112,"A7FED0",7
2113,"6EB1C1",7
2114,"ICAO-406B12",10
2115,"42433C",8
2116,"ICAO-A92171",12
2117,"ICAO-A0A7D6",10
2118,"AA6F46",3
2119,"ICAO-A1804C",8
2120,"ICAO-ABDCBE",7
2121,"ICAO-A77B35",3
2122,"ICAO-3C7201",15
2123,"ICAO-A4E41D",8
2124,"AD8836",3
2125,"ICAO-AB4FD4",2
2126,"ICAO-A1D18F",8
2127,"A12F78",10
2128,"ICAO-A0B20E",6
2129,"4BA956",5
2130,"ICAO-398904",9
2131,"AD9B28",6
2132,"ICAO-AC63D6",12
2133,"ICAO-3440CE",8
2134,"ICAO-ABE1B6",9
2135,"ABD19E",8
2136,"ICAO-86E4B8",11
2137,"ICAO-A0B550",5
2138,"ICAO-AA7952",10
2139,"A8C44B",11
2140,"ICAO-06A0F9",14
2141,"ICAO-400E75",11
2142,"A9C5C5",3
2143,"A1AD23",6
2144,"AB5BF0",2
2145,"AA56B6",14
2146,"ICAO-A16EC2",14
2147,"A7103C",15
2148,"ICAO-40655D",8
2149,"ICAO-A67857",1
2150,"ICAO-AA44AC",8
2151,"A96BA2",15
2152,"ICAO-47C5CB",5
2153,"ICAO-4B1934",7
2154,"ICAO-AE021C",8
2155,"ICAO-ADC532",9
2156,"ICAO-ADC2A7",10
2157,"A82298",0
2158,"2AA02D",3
2159,"ICAO-A0EC4D",0
2160,"ICAO-4843F3",5
2161,"ICAO-738042",13
2162,"ICAO-3C650B",7
2163,"ICAO-AB5ED8",2
2164,"ICAO-ADA5EE",5
2165,"ICAO-4CC27F",1
2166,"ICAO-503DAF",10
2167,"A66E52",1
2168,"ICAO-7100C8",6
2169,"A403F4",4
2170,"ICAO-020123",13
2171,"ICAO-A6CA7F",5
2172,"ICAO-34520B",0
2173,"ICAO-AA8114",0
2174,"ICAO-4063E7",11
2175,"A00F5D",3
2176,"ICAO-AC94E5",14
2177,"A65527",9
2178,"A85119",2
2179,"ICAO-3949ED",7
2180,"A9D86C",11
2181,"ICAO-AAAE4B",10
2182,"ICAO-ADB476",7
2183,"A8299A",0
2184,"A262A9",2
2185,"ICAO-A967EB",15
2186,"AD8C4C",9
2187,"A43EA6",12
2188,"ICAO-738C07",15
2189,"ICAO-ACD5AD",12
2190,"ICAO-A8AEF3",12
2191,"ICAO-AB9278",5
2192,"ICAO-A0A8DA",9
2193,"AAA26A",3
2194,"ICAO-4006AE",7
2195,"ICAO-AACFBE",15
2196,"ICAO-AAABF6",4
